Key,Administration,Party,Department,Name,LastName,ServiceStart,ServiceEnd,DeptScandalFlag,ScandalFlag,ScandalDesc,EduDesc,Bachelors,Masters,MD,Law,Doctorate,MilitaryService,MilitaryDatesServed,MilitaryBranch,Gender,ForeignBorn,Minority,DiedOffice,SenateVotesFor,SenateVotesAgainst,NotesDiscrepancies
1,Washington,"None, Federalist",President,George Washington,Washington,4/30/1789,3/3/1797,,,,College of William and Mary,,,,,,lt. gen. & cmdr.,Revolutionary War,Army,1,0,0,0,eo,eo,"Received his license through the college, no evidence he attended classes there."
2,Washington,"None, Federalist",Vice President,John Adams,Adams,4/30/1789,3/3/1797,,,,Harvard University (BA),1,,,1,,,,,1,0,0,0,eo,eo,
3,Washington,"None, Federalist",Secretary of State,John Jay,Jay,4/30/1789,9/26/1789,,,,"Columbia University (BA, MA)",1,1,,1,,,,,1,0,0,0,nr,nr,"Secretary of Foreign Affairs under the Articles of Confederation, served unofficially as Secretary of State until superceded by Thomas Jefferson."
4,Washington,"None, Federalist",Secretary of State,Thomas Jefferson,Jefferson,9/26/1789,12/2/1794,,,,College of William and Mary (grad.),1,,,1,,,,,1,0,0,0,nr,nr,
5,Washington,"None, Federalist",Secretary of State,Edmund Randolph,Randolph,12/2/1794,8/20/1795,,,,College of William and Mary (grad.),1,,,,,ADC,Revolutionary War,Army,1,0,0,0,nr,nr,
6,Washington,"None, Federalist",Secretary of State,Timothy Pickering,Pickering,12/10/1795,5/12/1800,,,,Harvard University (grad.),1,,,1,,quartermaster gen.,Revolutionary War,Army,1,0,0,0,nr,nr,
7,Washington,"None, Federalist",Secretary of the Treasury,Alexander Hamilton,Hamilton,9/11/1789,2/2/1795,,,,Columbia University,,,,,,capt.,Revolutionary War,Army,1,1,0,0,nr,nr,
8,Washington,"None, Federalist",Secretary of the Treasury,Oliver Wolcott Jr.,Wolcott,2/2/1795,1/1/1801,,,,Yale University (BA); Litchfield Law School,1,,,1,,ADC,Revolutionary War,Army,1,0,0,0,nr,nr,
9,Washington,"None, Federalist",Secretary of War,Henry Knox,Knox,9/12/1789,1/2/1795,,,,no college,,,,,,maj. gen.,Revolutionary War,Army,1,0,0,0,nr,nr,
10,Washington,"None, Federalist",Secretary of War,Timothy Pickering,Pickering,1/2/1795,2/5/1796,,,,Harvard University (grad.),1,,,1,,quartermaster gen.,Revolutionary War,Army,1,0,0,0,nr,nr,
