Key,Administration,Party,Department,Name,LastName,ServiceStart,ServiceEnd,DeptScandalFlag,ScandalFlag,ScandalDesc,EduDesc,Bachelors,Masters,MD,Law,Doctorate,MilitaryService,MilitaryDatesServed,MilitaryBranch,Gender,ForeignBorn,Minority,DiedOffice,SenateVotesFor,SenateVotesAgainst,NotesDiscrepancies
1,Carter,Democrat,Administrator of the Environmental Protection Agency,Douglas Costle,Costle,3/7/1977,1/20/1981,,,,Harvard University (BA); University of Chicago (JD),1,,,1,,,,,1,0,0,0,vv,vv,
2,Reagan,Republican,Administrator of the Environmental Protection Agency,Steve Jellinek,Jellinek,1/21/1981,1/25/1981,,,,unknown,,,,,,,,,1,0,0,0,acting,acting,
3,Reagan,Republican,Administrator of the Environmental Protection Agency,Walter Barber Jr.,Barber,1/25/1981,5/19/1981,,,,unknown,,,,,,,,,1,0,0,0,acting,acting,
4,Reagan,Republican,Administrator of the Environmental Protection Agency,Anne Gorsuch,Gorsuch,5/20/1981,3/9/1983,,,,"University of Colorado, Boulder (BA, JD)",1,,,1,,,,,0,0,0,0,uc,uc,
5,Reagan,Republican,Administrator of the Environmental Protection Agency,William Ruckelshaus,Ruckelshaus,5/18/1983,1/4/1985,,,,Princeton University (BA); Harvard University (LLB),1,,,1,,,,,1,0,0,0,97,0,
6,Reagan,Republican,Administrator of the Environmental Protection Agency,Lee Thomas,Thomas,2/8/1985,1/20/1989,,,,"University of the South (BA); University of South Carolina, Columbia (MED)",1,1,,,,,,,1,0,0,0,vv,vv,
7,George H.W. Bush,Republican,Administrator of the Environmental Protection Agency,William Kane Reilly,Reilly,2/6/1989,1/20/1993,,,,Yale University (BA); Harvard University (LLB); Columbia University (MUP),1,1,,1,,,,,1,0,0,0,100,0,
8,Clinton,Democrat,Administrator of the Small Business Administration,Dayton J. Watkins,Watkins,1/20/1993,5/12/1993,,,,,,,,,,,,,1,0,0,0,acting,acting,Incomplete information
9,Clinton,Democrat,Administrator of the Environmental Protection Agency,Carol Browner,Browner,1/23/1993,1/20/2001,,,,"University of Florida (BA, JD)",1,,,1,,,,,0,0,0,0,uc,uc,
10,Clinton,Democrat,Administrator of the Small Business Administration,Erskine Bowles,Bowles,5/12/1993,10/6/1994,,,,"University of North Carolina, Chapel Hill (BA); Columbia University (MBA)",1,1,,,,,,,1,0,0,0,nr,nr,
11,Clinton,Democrat,Administrator of the Small Business Administration,Cassandra M. Pulley,Pulley,10/6/1994,10/8/1994,,,,,,,,,,,,,0,0,0,0,acting,acting,Incomplete information
12,Clinton,Democrat,Administrator of the Small Business Administration,Philip Lader,Lader,10/8/1994,2/11/1997,,,,"Duke University (BA); University of Michigan, Ann Arbor (MA); Oxford University (LLB); Harvard University (JD)",1,1,,1,,,,,1,0,0,0,nr,nr,
13,Clinton,Democrat,Administrator of the Small Business Administration,Ginger Lew,Lew,2/11/1997,3/7/1997,,,,,,,,,,,,,0,0,0,0,nr,nr,Incomplete information
14,Clinton,Democrat,Administrator of the Small Business Administration,Aída Álvarez,Álvarez,3/7/1997,1/20/2001,,,,Harvard University (BA),1,,,,,,,,1,0,1,0,vv,vv,
15,George W. Bush,Republican,Administrator of the Environmental Protection Agency,Christine Whitman,Whitman,1/31/2001,6/27/2003,,,,"Wheaton College, Massachusetts (BA)",1,,,,,,,,0,0,0,0,99,0,
16,George W. Bush,Republican,Administrator of the Environmental Protection Agency,Marianne Lamont Horinko,Horinko,7/14/2003,11/5/2003,,,,"University of Maryland, College Park (BS); Georgetown University (JD)",1,,,1,,,,,0,0,0,0,acting,acting,
17,George W. Bush,Republican,Administrator of the Environmental Protection Agency,Michael Leavitt,Leavitt,11/6/2003,1/26/2005,,,,Southern Utah University (BA),1,,,,,,,,1,0,0,0,88,8,
18,George W. Bush,Republican,Administrator of the Environmental Protection Agency,Stephen Johnson,Johnson,1/26/2005,1/20/2009,,,,Taylor University (BS); George Washington University (MS),1,1,,,,,,,1,0,0,0,vv,vv,
19,Obama,Democrat,Administrator of the Small Business Administration,Darryl Hairston,Hairston,1/20/2009,4/6/2009,,,,,,,,,,,,,0,0,0,0,acting,acting,incomplete information
20,Obama,Democrat,Chief of Staff,Rahm Emanuel,Emanuel,1/20/2009,10/1/2010,,,,Sarah Lawrence College (BA); Northwestern University (MA),1,1,,,,,,,1,0,0,0,pp,pp,
21,Obama,Democrat,Director of the Federal Emergency Management Agency,Nancy L. Ward,Ward,1/21/2009,5/12/2009,,,,unknown education,,,,,,,,,0,0,0,0,acting,acting,Unknown education
22,Obama,Democrat,Administrator of the Environmental Protection Agency,Lisa P. Jackson,Jackson,1/23/2009,2/15/2013,,,,Tulane University (BS); Princeton University (MS),1,1,,,,,,,1,0,0,0,uc,uc,
23,Obama,Democrat,Ambassador to the United Nations,Susan Rice,Rice,1/26/2009,6/30/2013,,,,"Stanford University (BA); Oxford University (MPHIL, DPHIL)",1,1,,,1,,,,1,0,0,0,vv,vv,
24,Obama,Democrat,United States Trade Representative,Ron Kirk,Kirk,3/18/2009,3/15/2013,,,,"Austin College (BA); University of Texas, Austin (JD)",1,,,1,,,,,1,0,0,0,92,5,
25,Obama,Democrat,Administrator of the Small Business Administration,Karen Mills,Mills,4/6/2009,9/1/2013,,,,"Harvard University (BA, MBA)",1,1,,,,,,,0,0,0,0,nr,nr,
26,Obama,Democrat,Director of the Office of National Drug Control Policy,Gil Kerlikowske,Kerlikowske,5/7/2009,3/6/2014,,,,"University of South Florida, Tampa (BA, MA)",1,1,,,,,,,1,0,0,0,91,1,
27,Obama,Democrat,Director of the Federal Emergency Management Agency,Craig Fugate,Fugate,5/19/2009,1/20/2017,,,,Santa Fe College (grad.),,,,,,,,,1,0,0,0,vv,vv,
28,Obama,Democrat,Chief of Staff,William M. Daley,Daley,1/13/2011,1/27/2012,,,,"Loyola University, Chicago (BA); John Marshall Law School, Chicago (JD)",1,,,1,,,,,1,0,0,0,pp,pp,
29,Obama,Democrat,Chief of Staff,Jack Lew,Lew,1/27/2012,1/20/2013,,,,Harvard University (BA); Georgetown University (JD),1,,,1,,,,,1,0,0,0,pp,pp,
